34,5;
Z CZE917053 !!!;1;;
764565;24;0,5;
764572;1;0,5;
764589;1;0,5;
GS-06B;250;0,68;
GS-06W;250;0,68;
777619;1;0,7;
764534;1;0,8;
764541;1;0,8;
GS-07B;250;0,84;
GS-07W;250;0,84;
LU0612;135;0,85;
777565;1;0,9;
777572;1;0,9;
GSPPL-6Bl;6;0,97;
GSPPL-6Gr;18;0,97;
GC-09;57;0,98;
558003;468;1,02;
558010;716;1,02;
558027;313;1,02;
GS-08B;244;1,05;
GSPL-2;21;1,05;
GC-20;218;1,07;
GNPL-19;3;1,08;
LU0618;18;1,1;
557815;16;1,11;
GNPPL-19;85;1,12;
557822;282;1,13;
558300;1;1,17;
558317;42;1,17;
GC-01;97;1,18;
GC-21;527;1,18;
LU0231;2;1,21;
LU0616;30;1,22;
525104;1;1,24;
GNPPL-16;27;1,29;
766613;1;1,3;
770726;5;1,3;
777596;1;1,3;
GSPL-6;41;1,32;
GNPLSS-19;73;1,38;
GC-02;12;1,39;
777541;1;1,4;
GC-11;29;1,47;
764763;1;1,5;
764770;1;1,5;
777558;1;1,5;
GBK-24B;29;1,5;
GBK-24R;38;1,5;
GBK-24W;34;1,5;
GNPL-16;9;1,52;
GSPPL-2;12;1,54;
LU0617;2;1,54;
567630;3;1,59;
880647;60;1,59;
880654;14;1,59;
766545;1;1,6;
GSPPL-12Bl;2;1,62;
557907;153;1,67;
557914;166;1,67;
557921;168;1,7;
GNPP-19100;39;1,7;
551332;10;1,75;
551363;1;1,75;
868577;19;1,75;
LU0621;2;1,76;
777411;1;1,8;
777589;1;1,8;
GT-2635B;113;1,8;
GT-2635Gr;328;1,8;
551219;8;1,82;
GSPL-12;29;1,82;
GC-35;71;1,84;
GNPP-19150;49;1,87;
GNPPL-14;115;1,87;
GSM-01C;36;1,89;
GSM-01R;35;1,89;
GSM-01W;86;1,89;
770719;11;1,9;
770740;24;1,9;
774748;16;1,9;
774755;12;1,9;
774779;11;1,9;
GMM-01B;30;1,9;
GMM-01C;45;1,9;
GMM-01R;47;1,9;
GMM-01W;22;1,9;
425701;10;1,91;
564103;1;1,91;
GNPLSS-16;73;1,96;
GBK-24С;2;1,98;
GC-07;31;1,98;
GSK-01;42;1,99;
GSK-02;45;1,99;
GT-2736B;123;2;
GT-2736Gr;230;2;
LU0629;63;2;
GNP-1965Bl;50;2,04;
GPSM-500;207;2,05;
GPSM-500/R;224;2,05;
GPSM-500/Y;81;2,05;
GNP-1965PC;3;2,11;
GC-10;239;2,18;
GNPPL-13;60;2,18;
764633;1;2,2;
764725;1;2,2;
777534;1;2,2;
794050;12;2,2;
1326;1;2,23;
425909;5;2,23;
426500;12;2,23;
450109;20;2,23;
551424;5;2,23;
567104;48;2,23;
596746;3;2,23;
596807;16;2,23;
635001;6;2,23;
880630;35;2,23;
GT-3141B;172;2,24;
GT-3141Gr;315;2,24;
561720;1;2,26;
563632;3;2,26;
563649;11;2,26;
GNPP-16150;58;2,26;
764794;1;2,3;
766491;1;2,3;
799390;12;2,3;
GT-2635R;2;2,31;
GNPL-14;20;2,35;
864166;24;2,39;
773574;1;2,4;
GC-06;16;2,46;
GNP-19100Bl;20;2,46;
LU0255;33;2,48;
800874;136;2,49;
GT-3244B;134;2,5;
GT-3244Gr;80;2,5;
GT-3244R;139;2,5;
LU0000;40;2,5;
GNPP-16200;86;2,52;
GSPP-2;6;2,53;
567654;3;2,55;
597200;2;2,55;
871201;16;2,55;
880562;2;2,55;
766439;1;2,6;
770566;12;2,6;
773345;1;2,6;
777510;1;2,6;
799376;11;2,6;
426708;56;2,67;
558447;26;2,67;
861837;39;2,67;
GNP-1665Bl;52;2,69;
GNP-1665PC;1;2,69;
764701;1;2,7;
764718;1;2,7;
770184;7;2,7;
774076;1;2,7;
GNPL-13;19;2,7;
Z CZE903650;1;2,75;
GC-31;49;2,76;
770337;11;2,8;
773925;1;2,8;
794067;23;2,8;
GNP-19150Bl;30;2,8;
GNP-19150PC;12;2,8;
GT-3643B;192;2,8;
GT-3643Gr;397;2,8;
GT-3643R;171;2,8;
271117;16;2,81;
512227;7;2,81;
562000;3;2,81;
880623;69;2,81;
404003;18;2,87;
425800;6;2,87;
517109;16;2,87;
680117;29;2,87;
868553;6;2,87;
880524;26;2,87;
GC-08;27;2,89;
GT-3141Br;41;2,89;
GT-3141R;13;2,89;
764602;1;2,9;
764695;1;2,9;
770092;8;2,9;
770733;11;2,9;
773444;1;2,9;
794074;10;2,9;
564547;1;2,93;
GNPLSS-14;98;2,96;
800867;52;2,98;
GNPP-14150;91;2,98;
GC-14;20;3;
LU0236;139;3,06;
808108;7;3,08;
565506;3;3,1;
770412;1;3,1;
773512;1;3,1;
799420;11;3,1;
GNP-16100Bl;2;3,15;
LU2021;16;3,17;
401101;8;3,18;
171707;83;3,19;
450307;206;3,19;
512234;6;3,19;
530207;71;3,19;
564400;6;3,19;
564455;2;3,19;
663608;1;3,19;
663615;1;3,19;
783177;1;3,19;
841228;51;3,19;
871300;1;3,19;
878927;19;3,19;
878934;47;3,19;
880425;33;3,19;
880487;33;3,19;
770177;10;3,2;
770344;12;3,2;
774953;36;3,2;
775134;24;3,2;
775226;22;3,2;
775318;23;3,2;
777725;23;3,2;
Z CZE903438;1;3,2;
